PERIODO,MES,TIPO,ENTIDAD,MONEDA,TC,RESULTADO_NETO
2026,Marzo,CAJAS MUNICIPALES,CMAC Ica,MN,3.4909999999999997,21096.869899999998
2026,Marzo,CAJAS MUNICIPALES,CMAC Ica,ME,3.4909999999999997,-5754.368530000001
2026,Marzo,CAJAS MUNICIPALES,CMAC Ica,TOTAL,3.4909999999999997,15342.501369999998
2026,Marzo,CAJAS MUNICIPALES,CMAC Maynas,MN,3.4909999999999997,2821.20048
2026,Marzo,CAJAS MUNICIPALES,CMAC Maynas,ME,3.4909999999999997,-755.9054699999999
2026,Marzo,CAJAS MUNICIPALES,CMAC Maynas,TOTAL,3.4909999999999997,2065.29501
2026,Marzo,CAJAS MUNICIPALES,CMAC Paita,MN,3.4909999999999997,1199.26002
2026,Marzo,CAJAS MUNICIPALES,CMAC Paita,ME,3.4909999999999997,-21.320529999999998
2026,Marzo,CAJAS MUNICIPALES,CMAC Paita,TOTAL,3.4909999999999997,1177.93949
2026,Marzo,CAJAS MUNICIPALES,CMAC Piura,MN,3.4909999999999997,86757.9768
2026,Marzo,CAJAS MUNICIPALES,CMAC Piura,ME,3.4909999999999997,-8254.05909
2026,Marzo,CAJAS MUNICIPALES,CMAC Piura,TOTAL,3.4909999999999997,78503.91771
2026,Marzo,CAJAS MUNICIPALES,CMAC Tacna,MN,3.4909999999999997,5937.27927
2026,Marzo,CAJAS MUNICIPALES,CMAC Tacna,ME,3.4909999999999997,-635.0444699999999
2026,Marzo,CAJAS MUNICIPALES,CMAC Tacna,TOTAL,3.4909999999999997,5302.2348
2026,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,MN,3.4909999999999997,18609.843820000002
2026,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,ME,3.4909999999999997,-249.12664
2026,Marzo,CAJAS MUNICIPALES,CMAC Trujillo,TOTAL,3.4909999999999997,18360.71718
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,MN,3.4909999999999997,379670.34474
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,ME,3.4909999999999997,-46819.719
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES DE AHORRO Y CREDITO,TOTAL,3.4909999999999997,332850.62574
2026,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,MN,3.4909999999999997,5462.33953
2026,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,ME,3.4909999999999997,1144.53493
2026,Marzo,CAJAS MUNICIPALES,Caja Municipal de Crédito Popular Lima,TOTAL,3.4909999999999997,6606.87446
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,MN,3.4909999999999997,385132.6842699999
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,ME,3.4909999999999997,-45675.18407
2026,Marzo,CAJAS MUNICIPALES,TOTAL CAJAS MUNICIPALES,TOTAL,3.4909999999999997,339457.50019999995
2025,Marzo,CAJAS RURALES,CRAC Censosud Scotia,MN,3.668,4483.05509
2025,Marzo,CAJAS RURALES,CRAC Censosud Scotia,ME,3.668,-2496.5127800000005
2025,Marzo,CAJAS RURALES,CRAC Censosud Scotia,TOTAL,3.668,1986.5423099999996
2025,Marzo,CAJAS RURALES,CRAC Los Andes,MN,3.668,2438.66338
2025,Marzo,CAJAS RURALES,CRAC Los Andes,ME,3.668,-1286.39418
2025,Marzo,CAJAS RURALES,CRAC Los Andes,TOTAL,3.668,1152.2692
2025,Marzo,CAJAS RURALES,CRAC Prymera,MN,3.668,-628.67466
2025,Marzo,CAJAS RURALES,CRAC Prymera,ME,3.668,462.89262
2025,Marzo,CAJAS RURALES,CRAC Prymera,TOTAL,3.668,-165.78204000000002
2025,Marzo,CAJAS RURALES,CRAC Incasur,MN,3.668,-30.020940000000003
2025,Marzo,CAJAS RURALES,CRAC Incasur,ME,3.668,16.55499
2025,Marzo,CAJAS RURALES,CRAC Incasur,TOTAL,3.668,-13.465950000000001
2025,Marzo,CAJAS RURALES,CRAC del Centro,MN,3.668,-1111.3346299999998
2025,Marzo,CAJAS RURALES,CRAC del Centro,ME,3.668,77.06069000000001
2025,Marzo,CAJAS RURALES,CRAC del Centro,TOTAL,3.668,-1034.27394
2025,Marzo,CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,MN,3.668,5151.6882399999995
2025,Marzo,CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,ME,3.668,-3226.39866
2025,Marzo,CAJAS RURALES,TOTAL CAJAS RURALES DE AHORRO Y CREDITO,TOTAL,3.668,1925.2895799999997
2026,Marzo,CAJAS RURALES,CRAC Censosud Scotia,MN,3.4909999999999997,2490.55337
2026,Marzo,CAJAS RURALES,CRAC Censosud Scotia,ME,3.4909999999999997,-234.8812
2026,Marzo,CAJAS RURALES,CRAC Censosud Scotia,TOTAL,3.4909999999999997,2255.67217
2026,Marzo,CAJAS RURALES,CRAC Los Andes,MN,3.4909999999999997,3572.31127
